epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,10855.0,1.05053,3.97332,0.32919,0.02012,0.00372,0.00018,0.00012,0.3163,4.63874,0.05052,1.26649e-05,1.26649e-05,1.26649e-05
2,21595.0,0.43906,3.55528,0.06144,0.02214,0.00257,0.00222,0.00152,0.37631,3.13284,0.05949,1.9062e-05,1.9062e-05,1.9062e-05
3,32306.8,0.435,2.86773,0.06044,0.02633,0.00259,0.00243,0.00166,0.37153,2.77898,0.05924,9.78455e-06,9.78455e-06,9.78455e-06
4,10840.4,0.42755,2.5301,0.05844,0.03519,0.00553,0.00567,0.00408,0.36991,2.27188,0.0601,1.26649e-05,1.26649e-05,1.26649e-05
5,21587.5,0.42172,1.94257,0.05691,0.05546,0.01887,0.01804,0.01357,0.37934,1.69773,0.06079,1.9062e-05,1.9062e-05,1.9062e-05
6,32280.4,0.4168,1.60077,0.05661,0.05764,0.02472,0.02277,0.01746,0.37393,1.5292,0.05971,9.78455e-06,9.78455e-06,9.78455e-06
7,10854.4,0.4092,1.45672,0.05487,0.0856,0.02926,0.02804,0.0219,0.36931,1.35911,0.05983,1.26649e-05,1.26649e-05,1.26649e-05
8,21587.2,0.39388,1.24804,0.0524,0.09923,0.03545,0.03221,0.02509,0.37112,1.15163,0.05993,2.36517e-05,2.36517e-05,2.36517e-05
9,32273.5,0.39294,1.08581,0.05343,0.1325,0.03944,0.03884,0.03068,0.3629,1.00756,0.0583,2.85937e-05,2.85937e-05,2.85937e-05
10,10827.8,0.38444,0.98646,0.05126,0.15469,0.04837,0.04879,0.03951,0.3623,0.96301,0.0595,1.26649e-05,1.26649e-05,1.26649e-05
11,21525.0,0.37369,0.90422,0.04889,0.16589,0.05758,0.05773,0.04631,0.3705,0.90365,0.06118,1.9062e-05,1.9062e-05,1.9062e-05
12,32198.8,0.37365,0.85239,0.04928,0.17424,0.06422,0.06676,0.05421,0.36455,0.87242,0.05977,9.78455e-06,9.78455e-06,9.78455e-06
13,10824.8,0.37456,0.83545,0.04917,0.16952,0.07502,0.07195,0.05834,0.36538,0.86212,0.06063,1.26649e-05,1.26649e-05,1.26649e-05
14,21533.2,0.3618,0.77572,0.0463,0.18684,0.08509,0.08075,0.06547,0.37342,0.84672,0.06266,1.9062e-05,1.9062e-05,1.9062e-05
15,32236.7,0.36743,0.76152,0.04799,0.17829,0.08842,0.08614,0.07017,0.36388,0.81163,0.0597,9.78455e-06,9.78455e-06,9.78455e-06
16,10870.7,0.36669,0.74551,0.04735,0.18961,0.09942,0.09238,0.07576,0.37063,0.8321,0.06337,1.26649e-05,1.26649e-05,1.26649e-05
17,21616.7,0.35245,0.68674,0.04423,0.2229,0.1143,0.11124,0.09089,0.3784,0.82829,0.06485,1.9062e-05,1.9062e-05,1.9062e-05
18,32323.5,0.36221,0.69699,0.04687,0.22994,0.11571,0.11958,0.09898,0.36554,0.77842,0.06075,9.78455e-06,9.78455e-06,9.78455e-06
19,10817.9,0.36029,0.6782,0.04594,0.21358,0.13047,0.12731,0.10587,0.3756,0.82782,0.06513,1.26649e-05,1.26649e-05,1.26649e-05
20,21539.5,0.34406,0.61771,0.04249,0.22703,0.14878,0.14307,0.11803,0.38286,0.826,0.06675,1.9062e-05,1.9062e-05,1.9062e-05
21,32224.3,0.35788,0.64608,0.04586,0.24323,0.14925,0.15823,0.13245,0.36668,0.76615,0.06132,9.78455e-06,9.78455e-06,9.78455e-06
22,10816.0,0.35455,0.62647,0.04471,0.22894,0.16395,0.16438,0.13631,0.3797,0.8372,0.06676,1.26649e-05,1.26649e-05,1.26649e-05
23,21514.7,0.337,0.56729,0.04105,0.24578,0.17825,0.17378,0.14346,0.38691,0.81543,0.06844,1.9062e-05,1.9062e-05,1.9062e-05
24,32179.2,0.35388,0.60466,0.04486,0.2487,0.18288,0.18379,0.15334,0.37043,0.76024,0.06294,9.78455e-06,9.78455e-06,9.78455e-06
25,10841.5,0.34925,0.58519,0.0435,0.2798,0.18561,0.20094,0.16912,0.38379,0.83892,0.06826,1.26649e-05,1.26649e-05,1.26649e-05
26,21571.9,0.32891,0.52433,0.03934,0.25898,0.20799,0.20305,0.168,0.39035,0.83271,0.06848,1.27925e-05,1.27925e-05,1.27925e-05
27,10850.6,0.34434,0.55953,0.04256,0.29933,0.18951,0.20307,0.16921,0.39045,0.86102,0.07039,1.26649e-05,1.26649e-05,1.26649e-05
28,21587.5,0.33134,0.53205,0.03983,0.27633,0.21651,0.21392,0.17683,0.3876,0.81411,0.06809,1.9062e-05,1.9062e-05,1.9062e-05
29,32279.9,0.35011,0.57104,0.04408,0.29234,0.22058,0.23141,0.19332,0.37219,0.7577,0.06368,9.78455e-06,9.78455e-06,9.78455e-06
30,10826.7,0.33938,0.52952,0.04151,0.30114,0.23482,0.22854,0.18965,0.39617,0.86824,0.07216,1.26649e-05,1.26649e-05,1.26649e-05
31,21539.8,0.32528,0.49614,0.03866,0.33238,0.23601,0.23624,0.19596,0.39284,0.83143,0.07022,1.9062e-05,1.9062e-05,1.9062e-05
32,32227.3,0.34691,0.53996,0.04329,0.34824,0.24737,0.26262,0.2201,0.37388,0.76797,0.06442,9.78455e-06,9.78455e-06,9.78455e-06
33,10828.8,0.33528,0.50657,0.04066,0.32008,0.25529,0.24684,0.20541,0.39982,0.87899,0.07355,1.26649e-05,1.26649e-05,1.26649e-05
34,21552.9,0.31963,0.46513,0.03755,0.37963,0.25578,0.25613,0.21078,0.39891,0.84727,0.07149,1.9062e-05,1.9062e-05,1.9062e-05
35,32270.3,0.34327,0.51485,0.04253,0.36926,0.27837,0.28843,0.24132,0.37786,0.77796,0.06521,9.78455e-06,9.78455e-06,9.78455e-06
36,10837.9,0.33153,0.48548,0.03987,0.35486,0.27356,0.26858,0.22326,0.40216,0.89778,0.07396,1.26649e-05,1.26649e-05,1.26649e-05
37,21600.4,0.31392,0.44171,0.03652,0.4152,0.28006,0.28359,0.23157,0.39879,0.86252,0.07189,1.9062e-05,1.9062e-05,1.9062e-05
38,32326.5,0.33988,0.49188,0.04168,0.39349,0.29514,0.29961,0.2483,0.38,0.79378,0.06578,9.78455e-06,9.78455e-06,9.78455e-06
39,10823.2,0.32779,0.4666,0.0393,0.4001,0.27982,0.28274,0.23644,0.40473,0.90793,0.07474,1.26649e-05,1.26649e-05,1.26649e-05
40,21524.8,0.30909,0.42057,0.03573,0.39658,0.29556,0.28378,0.23406,0.40728,0.87643,0.07423,1.9062e-05,1.9062e-05,1.9062e-05
41,32207.8,0.3368,0.47331,0.04112,0.42358,0.30806,0.31332,0.26155,0.38235,0.80349,0.06704,9.78455e-06,9.78455e-06,9.78455e-06
42,10905.4,0.3241,0.45082,0.03858,0.43738,0.30478,0.30168,0.25016,0.40666,0.89998,0.07502,1.26649e-05,1.26649e-05,1.26649e-05
43,21647.2,0.30413,0.40351,0.03487,0.40939,0.32508,0.30484,0.25346,0.41112,0.88829,0.07465,1.9062e-05,1.9062e-05,1.9062e-05
44,32343.1,0.33369,0.45594,0.04048,0.43693,0.31552,0.32768,0.27338,0.38446,0.81804,0.06707,9.78455e-06,9.78455e-06,9.78455e-06
45,10855.5,0.32041,0.43666,0.03794,0.44107,0.32913,0.32511,0.27031,0.41527,0.92387,0.07818,1.26649e-05,1.26649e-05,1.26649e-05
46,21634.8,0.29901,0.38808,0.03405,0.42342,0.31986,0.31546,0.25981,0.41134,0.90215,0.07505,1.9062e-05,1.9062e-05,1.9062e-05
47,32390.0,0.33077,0.44038,0.03995,0.42527,0.3316,0.33383,0.2783,0.38502,0.83983,0.06738,9.78455e-06,9.78455e-06,9.78455e-06
